书名,信息,评分,评价数,金句
追风筝的人,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2006-5/29.00元,8.9,490416人评价,为你，千千万万遍
解忧杂货店,[日]东野圭吾/李盈春/南海出版公司/2014-5/39.50元,8.5,481214人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
小王子,[法]圣埃克苏佩里/马振聘/人民文学出版社/2003-8/22.00元,9.0,411256人评价,献给长成了大人的孩子们
白夜行,[日]东野圭吾/刘姿君/南海出版公司/2008-9/29.80元,9.1,356688人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
活着,余华/作家出版社/2012-8-1/20.00元,9.4,282404人评价,生的苦难与伟大
嫌疑人X的献身,[日]东野圭吾/刘子倩/南海出版公司/2008-9/28.00,8.9,295208人评价,数学好是一种极致的浪漫
三体,刘慈欣/重庆出版社/2008-1/23.00,8.8,290991人评价,你我不过都是虫子
围城,钱锺书/人民文学出版社/1991-2/19.00,8.9,289876人评价,对于“人艰不拆”四个字最彻底的违抗
挪威的森林,[日]村上春树/林少华/上海译文出版社/2001-2/18.80元,8.0,267417人评价,村上之发轫，多少人的青春启蒙
红楼梦,[清]曹雪芹著/人民文学出版社/1996-12/59.70元,9.6,205243人评价,谁解其中味？
百年孤独,[哥伦比亚]加西亚·马尔克斯/范晔/南海出版公司/2011-6/39.50元,9.2,214538人评价,尼采所谓的永劫复归，一场无始无终的梦魇
看见,柴静/广西师范大学出版社/2013-1-1/39.80元,8.8,208738人评价,在这里看见中国
平凡的世界（全三部）,路遥/人民文学出版社/2005-1/64.00元,9.0,181103人评价,中国当代城乡生活全景
三体Ⅱ,刘慈欣/重庆出版社/2008-5/32.00,9.3,172328人评价,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,刘慈欣/重庆出版社/2010-11/38.00元,9.2,169873人评价,终章，何去何从
不能承受的生命之轻,[捷克]米兰·昆德拉/许钧/上海译文出版社/2003-7/23.00元,8.5,177026人评价,朝向媚俗的一次伟大的进军
达·芬奇密码,[美]丹·布朗/朱振武/上海人民出版社/2004-2/28.00元,8.2,177390人评价,一切畅销的因素都有了
我们仨,杨绛/生活·读书·新知三联书店/2003-7/18.80元,8.7,167446人评价,平淡，坚忍，温情
天才在左疯子在右,高铭/武汉大学出版社/2010-2/29.80元,8.1,175038人评价,简称“疯癫与文明”
